COUNTYNAME,place,Place_id
臺東縣,臺東縣成功鎮,961.0
屏東縣,屏東縣佳冬鄉,931.0
雲林縣,雲林縣麥寮鄉,638.0
臺東縣,臺東縣綠島鄉,951.0
臺東縣,臺東縣蘭嶼鄉,952.0
彰化縣,彰化縣田中鎮,520.0
彰化縣,彰化縣社頭鄉,511.0
屏東縣,屏東縣竹田鄉,911.0
屏東縣,屏東縣萬丹鄉,913.0
苗栗縣,苗栗縣三灣鄉,352.0
新竹縣,新竹縣峨眉鄉,315.0
苗栗縣,苗栗縣南庄鄉,353.0
嘉義縣,嘉義縣太保市,612.0
嘉義縣,嘉義縣中埔鄉,606.0
嘉義縣,嘉義縣番路鄉,602.0
嘉義縣,嘉義縣水上鄉,608.0
彰化縣,彰化縣員林市,510.0
高雄市,高雄市小港區,812.0
宜蘭縣,宜蘭縣蘇澳鎮,270.0
宜蘭縣,宜蘭縣五結鄉,268.0
宜蘭縣,宜蘭縣宜蘭市,260.0
宜蘭縣,宜蘭縣壯圍鄉,263.0
連江縣,連江縣南竿鄉,209.0
連江縣,連江縣莒光鄉,211.0
金門縣,金門縣金寧鄉,892.0
金門縣,金門縣烏坵鄉,896.0
宜蘭縣,宜蘭縣羅東鎮,265.0
宜蘭縣,宜蘭縣員山鄉,264.0
宜蘭縣,宜蘭縣冬山鄉,269.0
宜蘭縣,宜蘭縣三星鄉,266.0
宜蘭縣,宜蘭縣大同鄉,267.0
新竹縣,新竹縣竹東鎮,310.0
新竹縣,新竹縣新埔鎮,305.0
新竹縣,新竹縣關西鎮,306.0
新竹縣,新竹縣湖口鄉,303.0
新竹縣,新竹縣芎林鄉,307.0
新竹縣,新竹縣橫山鄉,312.0
新竹縣,新竹縣北埔鄉,314.0
新竹縣,新竹縣尖石鄉,313.0
新竹縣,新竹縣五峰鄉,311.0
臺中市,臺中市龍井區,434.0
臺中市,臺中市大雅區,428.0
臺中市,臺中市沙鹿區,433.0
臺中市,臺中市梧棲區,435.0
澎湖縣,澎湖縣湖西鄉,885.0
苗栗縣,苗栗縣苗栗市,360.0
苗栗縣,苗栗縣卓蘭鎮,369.0
苗栗縣,苗栗縣大湖鄉,364.0
苗栗縣,苗栗縣公館鄉,363.0
苗栗縣,苗栗縣銅鑼鄉,366.0
苗栗縣,苗栗縣頭屋鄉,362.0
苗栗縣,苗栗縣三義鄉,367.0
苗栗縣,苗栗縣西湖鄉,368.0
苗栗縣,苗栗縣造橋鄉,361.0
苗栗縣,苗栗縣獅潭鄉,354.0
苗栗縣,苗栗縣泰安鄉,365.0
彰化縣,彰化縣彰化市,500.0
彰化縣,彰化縣和美鎮,508.0
彰化縣,彰化縣線西鄉,507.0
彰化縣,彰化縣伸港鄉,509.0
彰化縣,彰化縣秀水鄉,504.0
彰化縣,彰化縣花壇鄉,503.0
彰化縣,彰化縣芬園鄉,502.0
彰化縣,彰化縣溪湖鎮,514.0
嘉義縣,嘉義縣東石鄉,614.0
彰化縣,彰化縣大村鄉,515.0
彰化縣,彰化縣埔鹽鄉,516.0
彰化縣,彰化縣埔心鄉,513.0
彰化縣,彰化縣永靖鄉,512.0
彰化縣,彰化縣二水鄉,530.0
彰化縣,彰化縣二林鎮,526.0
彰化縣,彰化縣埤頭鄉,523.0
彰化縣,彰化縣芳苑鄉,528.0
彰化縣,彰化縣大城鄉,527.0
彰化縣,彰化縣竹塘鄉,525.0
彰化縣,彰化縣溪州鄉,524.0
南投縣,南投縣南投市,540.0
南投縣,南投縣埔里鎮,545.0
南投縣,南投縣草屯鎮,542.0
南投縣,南投縣竹山鎮,557.0
南投縣,南投縣集集鎮,552.0
南投縣,南投縣名間鄉,551.0
南投縣,南投縣鹿谷鄉,558.0
南投縣,南投縣中寮鄉,541.0
南投縣,南投縣魚池鄉,555.0
南投縣,南投縣國姓鄉,544.0
南投縣,南投縣水里鄉,553.0
南投縣,南投縣信義鄉,556.0
南投縣,南投縣仁愛鄉,546.0
雲林縣,雲林縣斗六市,640.0
雲林縣,雲林縣斗南鎮,630.0
雲林縣,雲林縣虎尾鎮,632.0
雲林縣,雲林縣西螺鎮,648.0
雲林縣,雲林縣土庫鎮,633.0
雲林縣,雲林縣北港鎮,651.0
雲林縣,雲林縣古坑鄉,646.0
雲林縣,雲林縣大埤鄉,631.0
雲林縣,雲林縣莿桐鄉,647.0
雲林縣,雲林縣林內鄉,643.0
雲林縣,雲林縣二崙鄉,649.0
雲林縣,雲林縣崙背鄉,637.0
雲林縣,雲林縣東勢鄉,635.0
雲林縣,雲林縣褒忠鄉,634.0
雲林縣,雲林縣元長鄉,655.0
雲林縣,雲林縣水林鄉,652.0
嘉義縣,嘉義縣朴子市,613.0
嘉義縣,嘉義縣大林鎮,622.0
嘉義縣,嘉義縣民雄鄉,621.0
嘉義縣,嘉義縣溪口鄉,623.0
嘉義縣,嘉義縣新港鄉,616.0
嘉義縣,嘉義縣六腳鄉,615.0
嘉義縣,嘉義縣義竹鄉,624.0
嘉義縣,嘉義縣鹿草鄉,611.0
嘉義縣,嘉義縣竹崎鄉,604.0
嘉義縣,嘉義縣梅山鄉,603.0
嘉義縣,嘉義縣大埔鄉,607.0
嘉義縣,嘉義縣阿里山鄉,605.0
屏東縣,屏東縣屏東市,900.0
屏東縣,屏東縣潮州鎮,920.0
屏東縣,屏東縣長治鄉,908.0
屏東縣,屏東縣麟洛鄉,909.0
屏東縣,屏東縣九如鄉,904.0
屏東縣,屏東縣里港鄉,905.0
屏東縣,屏東縣鹽埔鄉,907.0
屏東縣,屏東縣高樹鄉,906.0
屏東縣,屏東縣萬巒鄉,923.0
屏東縣,屏東縣內埔鄉,912.0
屏東縣,屏東縣新埤鄉,925.0
屏東縣,屏東縣崁頂鄉,924.0
屏東縣,屏東縣南州鄉,926.0
屏東縣,屏東縣琉球鄉,929.0
屏東縣,屏東縣三地門鄉,901.0
屏東縣,屏東縣霧臺鄉,902.0
屏東縣,屏東縣瑪家鄉,903.0
屏東縣,屏東縣泰武鄉,921.0
屏東縣,屏東縣來義鄉,922.0
屏東縣,屏東縣春日鄉,942.0
屏東縣,屏東縣獅子鄉,943.0
